Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
RIDENDO COM SRL,7886495,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Apartament 12, Județ Bihor",2017,,2204,2119,50,35,64,13420,,,-11152,200,,,0,,0,0,0,0,
RIDENDO COM SRL,7886495,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Apartament 12, Județ Bihor",2018,,2204,2119,50,35,64,13420,,,-11152,200,,,0,,0,0,0,0,
RIDENDO COM SRL,7886495,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Apartament 12, Județ Bihor",2019,,2204,2119,50,35,64,13420,,,-11152,200,,,0,,0,0,0,0,
SAFIROBLUE SRL,37606210,4711,"Municipiul Oradea, Str. EPISCOP ROMAN CIOROGARIU, Nr. 28, Județ Bihor",2018,,107455,91080,11234,5141,,115011,,,-7556,200,,253334,259066,275441,0,16375,0,18911,2
SAFIROBLUE SRL,37606210,4711,"Municipiul Oradea, Str. EPISCOP ROMAN CIOROGARIU, Nr. 28, Județ Bihor",2017,1083,56176,46424,8118,1634,,45904,,,11355,200,,146097,151240,138622,12618,0,11155,0,1
SAFIROBLUE SRL,37606210,4711,"Municipiul Oradea, Str. EPISCOP ROMAN CIOROGARIU, Nr. 28, Județ Bihor",2019,,137830,123856,13974,,,180233,,,-42403,200,,122354,122354,155977,0,33623,0,34847,1
ENZO COSTANGELES S.R.L.,39321685,4711,"Municipiul Oradea, Str. RIMANÓCZY KÁLMÁN, Nr. 8, Apartament 5, Județ Bihor",2018,,73696,64907,,8789,,78176,,,-4480,200,,29847,29847,34228,0,4381,0,4680,1
ENZO COSTANGELES S.R.L.,39321685,4711,"Municipiul Oradea, Str. RIMANÓCZY KÁLMÁN, Nr. 8, Apartament 5, Județ Bihor",2019,,201561,191881,,9680,,193341,,,8220,200,,126720,136720,122653,14067,0,12700,0,1
ROLYBERT COM SRL,6367783,4711,"Municipiul Oradea, STR. MILCOVULUI, Nr. 26, Bloc PB 75/A, Apartament 19, Județ Bihor",2017,,,,,,,8826,,,-8826,200,,,0,119,0,119,0,119,
ROLYBERT COM SRL,6367783,4711,"Municipiul Oradea, STR. MILCOVULUI, Nr. 26, Bloc PB 75/A, Apartament 19, Județ Bihor",2018,,,,,,,9076,,,-9076,200,,,0,250,0,250,0,250,
ROLYBERT COM SRL,6367783,4711,"Municipiul Oradea, STR. MILCOVULUI, Nr. 26, Bloc PB 75/A, Apartament 19, Județ Bihor",2019,,,,,,,9326,,,-9326,200,,,0,250,0,250,0,250,
ROLYBERT COM SRL,6367783,4711,"Municipiul Oradea, STR. MILCOVULUI, Nr. 26, Bloc PB 75/A, Apartament 19, Județ Bihor",2016,,,,,,,8707,,,-8707,200,,,0,300,0,300,0,300,
EUROPRISMA PRODIMPEX SRL,4003280,4711,"Municipiul Oradea, Str. IZVORULUI, Nr. 4 H, Județ Bihor",2016,,49706,47501,2205,,,108097,,,-58391,200,,,0,,0,0,0,0,
EUROPRISMA PRODIMPEX SRL,4003280,4711,"Municipiul Oradea, Str. IZVORULUI, Nr. 4 H, Județ Bihor",2018,,,,,,,105892,,,-105892,200,,,0,,0,0,0,0,
